               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.041545,            0.019727,           0.0010862,             0.75308,             0.78827,             0.79873,              0.5024,            0.042093,            0.017669,           0.0019655,           0.0091585,           0.0091585,           0.0091585
                  87,            0.041515,            0.019682,           0.0012244,             0.81373,             0.74817,             0.80115,             0.51195,            0.042859,            0.018215,            0.001767,           0.0091486,           0.0091486,           0.0091486
                  88,            0.041085,            0.019219,          0.00095705,              0.8018,             0.74239,             0.79798,             0.48918,            0.042296,            0.017747,           0.0018189,           0.0091387,           0.0091387,           0.0091387
                  89,            0.040382,            0.019588,          0.00098329,             0.78789,             0.77374,             0.80052,             0.50467,            0.042446,            0.017781,           0.0015162,           0.0091288,           0.0091288,           0.0091288
                  90,            0.041358,            0.019814,          0.00094153,             0.82581,             0.75171,             0.79564,             0.48258,            0.043418,            0.018189,           0.0015231,           0.0091189,           0.0091189,           0.0091189
                  91,             0.04132,            0.020067,          0.00099221,             0.77767,             0.72331,             0.77425,             0.47147,            0.043488,            0.018039,            0.001416,            0.009109,            0.009109,            0.009109
                  92,            0.041164,            0.019272,          0.00099129,             0.81623,             0.75915,             0.80294,             0.48956,            0.042513,             0.01805,           0.0016084,           0.0090991,           0.0090991,           0.0090991
                  93,            0.040612,            0.019709,           0.0010751,              0.7918,             0.77698,             0.78562,             0.49469,            0.042348,            0.017749,           0.0020993,           0.0090892,           0.0090892,           0.0090892
                  94,             0.04121,            0.019413,          0.00079739,             0.80109,              0.7482,             0.80388,             0.51913,            0.042281,            0.017539,           0.0016671,           0.0090793,           0.0090793,           0.0090793
                  95,            0.041287,            0.019641,          0.00080143,             0.78782,             0.76892,             0.79182,             0.50696,            0.042501,            0.017779,           0.0018535,           0.0090694,           0.0090694,           0.0090694
                  96,            0.040444,            0.019642,          0.00099203,              0.8062,             0.73165,             0.79874,             0.49527,            0.042603,            0.017919,           0.0020532,           0.0090595,           0.0090595,           0.0090595
                  97,            0.040878,            0.019322,          0.00096439,             0.81089,             0.76481,              0.8051,               0.512,            0.042184,            0.017594,            0.001851,           0.0090496,           0.0090496,           0.0090496
                  98,            0.040243,            0.019359,           0.0009635,             0.79013,             0.79325,             0.80828,             0.50109,            0.042211,            0.017553,           0.0016158,           0.0090397,           0.0090397,           0.0090397
                  99,            0.041141,             0.01943,          0.00094661,             0.81273,             0.75134,             0.79893,             0.49831,            0.042576,            0.017644,            0.001875,           0.0090298,           0.0090298,           0.0090298
                 100,            0.040882,            0.019309,           0.0011547,             0.79318,             0.76917,              0.7954,             0.49492,            0.043063,            0.017784,           0.0017824,           0.0090199,           0.0090199,           0.0090199
